Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"ConnectiCare Insurance Company, Inc",804243,09/06/2018,11/07/2018,Group Health,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,38146.62,Closed
LM General Insurance Company,802444,05/23/2018,03/05/2019,Auto,,Premium and Rating,Premium/Notice,Premium Refund,Voluntary Reconsider,682.08,Closed
UnitedHealthcare Insurance Company,804756,10/10/2018,11/07/2018,Group Health,Wisdom Teeth,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Justified,1441.00,Closed
SAFECO Insurance Company of Illinois,805032,10/24/2018,11/07/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
American Alternative Insurance Corporation,805023,10/23/2018,11/07/2018,Condo Association,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Nationwide General Insurance Company,804908,10/17/2018,11/07/2018,Homeowners,,Unfair Claims Practice,Subrogation,Company Position Upheld,Unjustified,0.00,Closed
SAFECO Insurance Company of America,805108,10/30/2018,11/07/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Liberty Insurance Corporation,803019,06/28/2018,07/24/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
American General Life Insurance Company,900655,02/08/2019,03/05/2019,,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
USAA General Indemnity Company,804934,10/17/2018,11/07/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
United States Fire Insurance Company,804798,10/11/2018,11/07/2018,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Aetna Health Inc,901057,03/05/2019,03/05/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
"Foremost Insurance Company Grand Rapids, Michigan",804643,10/01/2018,11/07/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",804243,09/06/2018,11/07/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,38146.62,Closed
Progressive Direct Insurance Company,804880,10/17/2018,11/07/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,805035,10/24/2018,11/07/2018,,,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,900763,02/15/2019,03/05/2019,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",900833,02/20/2019,03/05/2019,Exchange-Individual Hlth,MRI,Utilization Review,Medical Necessity,Coverage Granted,Furnished Information,0.00,Closed
United Property & Casualty Insurance Company,804832,10/12/2018,11/07/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
American Alternative Insurance Corporation,805023,10/23/2018,11/07/2018,Condo Association,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,804756,10/10/2018,11/07/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Justified,1441.00,Closed
Cigna Health and Life Insurance Company,900834,02/20/2019,03/06/2019,Group Health,No SubCov - AH,Unfair Claims Practice,CPT Code Issue,Complaint Withdrawn,No Action Necessary,0.00,Closed
Cigna Health and Life Insurance Company,805016,10/23/2018,11/07/2018,Group Health,Ambulance,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Voluntary Reconsider,519.81,Closed
"Anthem Health Plans, Inc",805248,11/06/2018,11/07/2018,Group Health,Mammogram,Unfair Claims Practice,CPT Code Issue,Record Only,No Action Necessary,0.00,Closed
State Farm Fire & Casualty Company,901029,03/04/2019,03/06/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Accident in Another State,No Action Necessary,0.00,Closed
Trumbull Insurance Company,805124,10/30/2018,11/07/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Additional Money Received,Voluntary Reconsider,221.25,Closed
Brighthouse Life Insurance Company,805035,10/24/2018,11/07/2018,Individual Long Term Care,Partnership,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Century-National Insurance Company,804984,10/22/2018,11/07/2018,Tenant Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
USAA General Indemnity Company,804934,10/17/2018,11/07/2018,,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,805032,10/24/2018,11/07/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Claim Settled,Unjustified,0.00,Closed
Talcott Resolution Life and Annuity Insurance Company,804898,10/17/2018,11/07/2018,Individual Annuity,Variable Annuity,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
American National Insurance Company,804896,10/17/2018,11/07/2018,Individual Annuity,IRA,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,No Action Necessary,0.00,Closed
Bristol West Insurance Company,805266,11/07/2018,11/07/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Complaint Withdrawn,No Action Necessary,0.00,Closed
United Property & Casualty Insurance Company,804832,10/12/2018,11/07/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,900577,02/05/2019,03/06/2019,Auto,,Underwriting,Cancellation,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,900341,01/23/2019,03/06/2019,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Transamerica Life Insurance Company,900813,02/19/2019,03/06/2019,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",901011,03/01/2019,03/06/2019,Group Health,Colonoscopy,Unfair Claims Practice,CPT Code Issue,Furnished Information,Furnished Information,0.00,Closed
USAA General Indemnity Company,900610,02/06/2019,03/06/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
Truck Insurance Exchange,805540,11/28/2018,12/10/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900995,02/28/2019,03/06/2019,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Premium Refund,Furnished Information,0.00,Closed
Allstate Fire and Casualty Insurance Company,900648,02/08/2019,02/19/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Aetna Health Inc,804420,09/18/2018,10/19/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900995,02/28/2019,03/06/2019,,,Premium and Rating,Premium Refund Delay,Premium Refund,Furnished Information,0.00,Closed
Transamerica Life Insurance Company,900813,02/19/2019,03/06/2019,Individual Life,Whole Life,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,900341,01/23/2019,03/06/2019,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Sentinel Insurance Company, Ltd",900664,02/08/2019,03/06/2019,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Standard Fire Insurance Company (The),900604,02/06/2019,03/06/2019,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Life Insurance Company of North America,804747,10/10/2018,11/08/2018,Group Disability Income,Long Term Group,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,20745.00,Closed
GEICO Indemnity Company,900662,02/08/2019,03/06/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Claim Settled,Questionable,1216.34,Closed
"Anthem Health Plans, Inc",805250,11/06/2018,11/08/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Complaint Withdrawn,No Action Necessary,0.00,Closed
Economy Premier Assurance Company,902081,05/08/2019,06/03/2019,Homeowners,,Unfair Claims Practice,Claim Delays,Refer To Appraisal,Justified,0.00,Closed
General Casualty Company of Wisconsin,902012,05/03/2019,06/03/2019,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",901824,04/22/2019,05/09/2019,Exchange-Individual Hlth,Prescription,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,174.96,Closed
Cigna Health and Life Insurance Company,900789,02/19/2019,03/07/2019,Dental,Dental,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Allstate Insurance Company,900624,02/07/2019,03/07/2019,,,Unfair Claims Practice,Unsatisfactory Offer,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Aetna Life Insurance Company,900748,02/14/2019,02/21/2019,Medicare Advantage,Skill Nurs/Home Hth Care,Marketing/Sales,Producer Handling,Furnished Information,Furnished Information,0.00,Closed
Liberty Mutual Fire Insurance Company,804851,10/15/2018,11/09/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Claim Settled,Questionable,0.00,Closed
LM General Insurance Company,900682,02/11/2019,03/07/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,804937,10/17/2018,11/09/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
Allstate Fire and Casualty Insurance Company,804906,10/17/2018,11/09/2018,,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,804673,10/02/2018,10/17/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Underwriters at Lloyds London,804909,10/17/2018,11/09/2018,General Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Liberty Insurance Corporation,804772,10/10/2018,11/09/2018,Condo Unit Owner,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Justified,2999.52,Closed
GEICO General Insurance Company,804847,10/15/2018,11/09/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Questionable,1072.41,Closed
State Farm Fire & Casualty Company,804848,10/15/2018,11/09/2018,Commercial Fire,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,804959,10/19/2018,11/09/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Harvard Pilgrim Health Care of Connecticut, Inc.",805560,11/28/2018,03/07/2019,,,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,178.47,Closed
Allstate Insurance Company,900624,02/07/2019,03/07/2019,Auto Medical Payment,,Unfair Claims Practice,Unsatisfactory Offer,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Massachusetts Bay Insurance Company,804906,10/17/2018,11/09/2018,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
American Family Life Assurance Company of New York,900860,02/21/2019,03/07/2019,A & H,Emergency,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
United States Fire Insurance Company,900776,02/15/2019,03/07/2019,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,900726,02/14/2019,03/07/2019,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Additional Money Received,Questionable,1102.31,Closed
American Commerce Insurance Company,900775,02/15/2019,03/07/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Massachusetts Bay Insurance Company,804904,10/17/2018,11/09/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Jackson National Life Insurance Company,900823,02/20/2019,03/07/2019,Individual Life,Term Life,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,804906,10/17/2018,11/09/2018,Auto Liability,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
Massachusetts Bay Insurance Company,804904,10/17/2018,11/09/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Massachusetts Bay Insurance Company,804906,10/17/2018,11/09/2018,,,Unfair Claims Practice,Actual Cash Value Dispute,Company Position Upheld,Unjustified,0.00,Closed
John Hancock Life & Health Insurance Company,805143,10/31/2018,11/09/2018,Individual Long Term Care,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Pol Restored/Reinstated,Furnished Information,0.00,Closed
Citizens Insurance Company of America,804641,10/01/2018,11/09/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,900789,02/19/2019,03/07/2019,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Hanover American Insurance Company,804883,10/17/2018,11/09/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,805949,12/27/2018,03/07/2019,Auto Liability,,Unfair Claims Practice,Storage Fees,Claim Settled,Unjustified,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",806010,12/31/2018,03/07/2019,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900848,02/20/2019,03/07/2019,Dental,Dental,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Homesite Insurance Company,804856,10/15/2018,11/09/2018,Auto,,Marketing/Sales,Mis-Quote,Company Position Upheld,Unjustified,0.00,Closed
Ohio Security Insurance Company,805044,10/24/2018,11/09/2018,General Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Citizens Insurance Company of America,804641,10/01/2018,11/09/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,805007,10/23/2018,11/09/2018,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Justified,1653.00,Closed
"Harvard Pilgrim Health Care of Connecticut, Inc.",805560,11/28/2018,03/07/2019,Group Health,Durable Medical Equipment,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,178.47,Closed
Unum Insurance Company,900650,02/08/2019,02/26/2019,Group Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Claim Settled,Furnished Information,5320.00,Closed
"Anthem Health Plans, Inc",805728,12/10/2018,03/07/2019,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900011,01/02/2019,03/07/2019,Individual Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Claim Settled,Voluntary Reconsider,15.15,Closed
Progressive Direct Insurance Company,804932,10/17/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,Steering,Company Position Upheld,Unjustified,0.00,Closed
Acadia Insurance Company,900663,02/08/2019,03/07/2019,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",806010,12/31/2018,03/07/2019,Dental,Dental,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,804932,10/17/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,After Mrkt Prts/Unsat Set,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,804825,10/12/2018,11/13/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,12000.00,Closed
State Farm Fire & Casualty Company,900844,02/20/2019,03/07/2019,Auto,,Premium and Rating,Premium Refund Delay,Corrective Action,Voluntary Reconsider,74.00,Closed
Metropolitan Life Insurance Company,805724,12/10/2018,03/07/2019,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Satisfied,Furnished Information,372.40,Closed
Brighthouse Life Insurance Company,805724,12/10/2018,03/07/2019,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Furnished Information,Furnished Information,0.00,Closed
Ohio Mutual Insurance Company,804989,10/22/2018,11/13/2018,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
Amica Mutual Insurance Company,902165,05/13/2019,06/03/2019,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",900786,02/19/2019,03/08/2019,Group Health,Ultrasound,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,625.58,Closed
GEICO Indemnity Company,804862,10/16/2018,11/13/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,804688,10/03/2018,11/13/2018,,,Unfair Claims Practice,Labor Rate,Company Position Upheld,Unjustified,0.00,Closed
"HPHC Insurance Company, Inc.",804918,10/17/2018,11/13/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
SAFECO Insurance Company of Illinois,804859,10/16/2018,11/13/2018,,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,900733,02/14/2019,03/08/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Inter-Company Arbitration,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,804688,10/03/2018,11/13/2018,Auto Physical Damage,,Unfair Claims Practice,Labor Rate,Company Position Upheld,Unjustified,0.00,Closed
"HPHC Insurance Company, Inc.",804918,10/17/2018,11/13/2018,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Ohio Mutual Insurance Company,804989,10/22/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Continental Casualty Company,805051,10/25/2018,11/13/2018,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Denial of Claim,Furnished Information,No Action Necessary,0.00,Closed
GEICO General Insurance Company,900292,01/18/2019,02/20/2019,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
Ohio Mutual Insurance Company,804989,10/22/2018,11/13/2018,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
SAFECO Insurance Company of Illinois,804859,10/16/2018,11/13/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802577,06/04/2018,10/24/2018,Exchange-Individual Hlth,No SubCov - AH,Unfair Claims Practice,Eligibility of Provider,Corrective Action,Justified,0.00,Closed
Ohio Mutual Insurance Company,804989,10/22/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
Merrimack Mutual Fire Insurance Company,804975,10/19/2018,11/13/2018,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Rescinded,Justified,0.00,Closed
John Hancock Life Insurance Company (USA),900841,02/20/2019,03/08/2019,Individual Life,Whole Life,Premium and Rating,Premium/Notice,Furnished Information,Furnished Information,0.00,Closed
United Services Automobile Association,804553,09/25/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Inter-Company Arbitration,Questionable,0.00,Closed
LM General Insurance Company,805030,10/24/2018,11/13/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Justified,3410.46,Closed
GEICO General Insurance Company,900292,01/18/2019,02/20/2019,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
John Hancock Life Insurance Company (USA),804982,10/22/2018,11/13/2018,Individual Life,Other,Marketing/Sales,Policy Service,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,804825,10/12/2018,11/13/2018,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,12000.00,Closed
Aetna Life Insurance Company,900998,02/28/2019,03/08/2019,Group Health,Cancer Related,Unfair Claims Practice,CPT Code Issue,Insufficient Information,No Action Necessary,0.00,Closed
USAA General Indemnity Company,804977,10/19/2018,11/14/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
U.S. Financial Life Insurance Company,805025,10/24/2018,11/14/2018,Individual Life,Universal Life,Marketing/Sales,Misrepresentation,Corrective Action,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",805112,10/30/2018,11/14/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Combined Insurance Company of America,900707,02/13/2019,03/08/2019,Ind Medicare Supplemental,No SubCov - AH,Marketing/Sales,Duplicate Coverage,Premium Refund,Furnished Information,2499.00,Closed
GEICO Indemnity Company,804606,09/27/2018,11/14/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
NGM Insurance Company,805072,10/29/2018,11/14/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
ACE American Insurance Company,900631,02/07/2019,03/08/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Voluntary Reconsider,0.00,Closed
Travelers Home and Marine Insurance Company (The),804729,10/05/2018,10/29/2018,Tenant Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Accordia Life and Annuity Company,803670,08/07/2018,11/14/2018,Individual Life,Term Life,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Unjustified,0.00,Closed
GEICO General Insurance Company,900769,02/15/2019,03/08/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Massachusetts Bay Insurance Company,805075,10/29/2018,11/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",900566,02/05/2019,03/05/2019,Group Health,No SubCov - AH,Marketing/Sales,Policy Service Delay,Furnished Information,Furnished Information,0.00,Closed
Massachusetts Bay Insurance Company,805075,10/29/2018,11/14/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,900882,02/22/2019,03/08/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",900893,02/25/2019,03/08/2019,Group Health,Out-Patient,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Furnished Information,0.00,Closed
"Guardian Insurance & Annuity Company, Inc.",805052,10/25/2018,11/14/2018,Group Health,No SubCov - AH,Marketing/Sales,Policy Service Delay,Satisfied,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",900203,01/14/2019,02/21/2019,Group Health,Durable Medical Equipment,Unfair Claims Practice,Denial of Claim,Claim Settled,Furnished Information,19.00,Closed
New London County Mutual Insurance Company,805028,10/24/2018,11/14/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,805008,10/23/2018,11/14/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",805112,10/30/2018,11/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",900394,01/24/2019,03/08/2019,Group Health,No SubCov - AH,Utilization Review,Medical Necessity,Claim Settled,Furnished Information,19162.07,Closed
ACE American Insurance Company,900631,02/07/2019,03/08/2019,,,Unfair Claims Practice,Claim Delays,Claim Settled,Voluntary Reconsider,0.00,Closed
Cigna Health and Life Insurance Company,803192,07/11/2018,08/13/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Misrepresentation,Satisfied,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,805055,10/25/2018,11/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,804962,10/19/2018,11/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804962,10/19/2018,11/14/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804822,10/12/2018,11/14/2018,Group Health,Emergency,Unfair Claims Practice,Usual and Customary Fees,Additional Money Received,Justified,4147.00,Closed
CSAA Affinity Insurance Company,804800,10/11/2018,03/11/2019,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Other [Enter Disposition],Unjustified,6713.03,Closed
Guardian Life Insurance Company of America,804875,10/16/2018,11/14/2018,Dental,Dental,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Utica First Insurance Company,900719,02/13/2019,03/11/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Pacific Indemnity Company,900777,02/15/2019,03/11/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,9550.00,Closed
Allstate Fire and Casualty Insurance Company,804949,10/18/2018,11/14/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Justified,225.38,Closed
CSAA Fire & Casualty Insurance Company,801582,04/02/2018,05/17/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",805158,11/01/2018,11/14/2018,A & H,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Eligibility of Provider,Provider Issue,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",900548,02/04/2019,03/11/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Claim Settled,Justified,42572.43,Closed
Progressive Casualty Insurance Company,805047,10/25/2018,11/14/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,2876.95,Closed
U.S. Financial Life Insurance Company,805025,10/24/2018,11/14/2018,,,Marketing/Sales,Misrepresentation,Corrective Action,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",804822,10/12/2018,11/14/2018,,,Unfair Claims Practice,Usual and Customary Fees,Additional Money Received,Justified,4147.00,Closed
Accordia Life and Annuity Company,803670,08/07/2018,11/14/2018,,,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Unjustified,0.00,Closed
James River Insurance Company,900764,02/15/2019,03/11/2019,Commercial Auto,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
